ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
94952,Marin County,CA,6041,H1
94945,Marin County,CA,6041,H1
94939,Marin County,CA,6041,H1
94973,Marin County,CA,6041,H1
94942,Marin County,CA,6041,H1
94964,Marin County,CA,6041,H1
94940,Marin County,CA,6041,H1
94976,Marin County,CA,6041,H1
94979,Marin County,CA,6041,H1
94925,Marin County,CA,6041,H1
94920,Marin County,CA,6041,H1
94948,Marin County,CA,6041,H1
94938,Marin County,CA,6041,H1
94904,Marin County,CA,6041,H1
94937,Marin County,CA,6041,H1
94924,Marin County,CA,6041,H1
94977,Marin County,CA,6041,H1
94946,Marin County,CA,6041,H1
94915,Marin County,CA,6041,H1
94914,Marin County,CA,6041,H1
94971,Marin County,CA,6041,H1
94929,Marin County,CA,6041,H1
94947,Marin County,CA,6041,H1
94960,Marin County,CA,6041,H1
94978,Marin County,CA,6041,H1
94957,Marin County,CA,6041,H1
94591,Napa County,CA,6055,H1
94562,Napa County,CA,6055,H1
94559,Napa County,CA,6055,H1
94581,Napa County,CA,6055,H1
94503,Napa County,CA,6055,H1
94515,Napa County,CA,6055,H1
94567,Napa County,CA,6055,H1
94599,Napa County,CA,6055,H1
94573,Napa County,CA,6055,H1
94576,Napa County,CA,6055,H1
95461,Napa County,CA,6055,H1
94508,Napa County,CA,6055,H1
95476,Napa County,CA,6055,H1
94574,Napa County,CA,6055,H1
94558,Napa County,CA,6055,H1
94123,San Francisco County,CA,6075,H6
94132,San Francisco County,CA,6075,H6
94118,San Francisco County,CA,6075,H6
94103,San Francisco County,CA,6075,H6
94112,San Francisco County,CA,6075,H6
94131,San Francisco County,CA,6075,H6
94141,San Francisco County,CA,6075,H6
94164,San Francisco County,CA,6075,H6
94188,San Francisco County,CA,6075,H6
94159,San Francisco County,CA,6075,H6
94115,San Francisco County,CA,6075,H6
94117,San Francisco County,CA,6075,H6
94104,San Francisco County,CA,6075,H6
94124,San Francisco County,CA,6075,H6
94119,San Francisco County,CA,6075,H6
94129,San Francisco County,CA,6075,H6
94014,San Francisco County,CA,6075,H6
94134,San Francisco County,CA,6075,H6
94121,San Francisco County,CA,6075,H6
94107,San Francisco County,CA,6075,H6
94111,San Francisco County,CA,6075,H6
94130,San Francisco County,CA,6075,H6
94143,San Francisco County,CA,6075,H6
94147,San Francisco County,CA,6075,H6
94146,San Francisco County,CA,6075,H6
94133,San Francisco County,CA,6075,H6
94110,San Francisco County,CA,6075,H6
94122,San Francisco County,CA,6075,H6
94105,San Francisco County,CA,6075,H6
94109,San Francisco County,CA,6075,H6
94140,San Francisco County,CA,6075,H6
94158,San Francisco County,CA,6075,H6
94114,San Francisco County,CA,6075,H6
94116,San Francisco County,CA,6075,H6
94102,San Francisco County,CA,6075,H6
94108,San Francisco County,CA,6075,H6
94127,San Francisco County,CA,6075,H6
94126,San Francisco County,CA,6075,H6
94303,San Mateo County,CA,6081,H1
94014,San Mateo County,CA,6081,H1
94015,San Mateo County,CA,6081,H1
94063,San Mateo County,CA,6081,H1
94083,San Mateo County,CA,6081,H1
94026,San Mateo County,CA,6081,H1
94060,San Mateo County,CA,6081,H1
94112,San Mateo County,CA,6081,H1
94497,San Mateo County,CA,6081,H1
94402,San Mateo County,CA,6081,H1
94019,San Mateo County,CA,6081,H1
94044,San Mateo County,CA,6081,H1
94065,San Mateo County,CA,6081,H1
94038,San Mateo County,CA,6081,H1
94018,San Mateo County,CA,6081,H1
94021,San Mateo County,CA,6081,H1
94064,San Mateo County,CA,6081,H1
94028,San Mateo County,CA,6081,H1
94070,San Mateo County,CA,6081,H1
94080,San Mateo County,CA,6081,H1
94027,San Mateo County,CA,6081,H1
94020,San Mateo County,CA,6081,H1
94074,San Mateo County,CA,6081,H1
94011,San Mateo County,CA,6081,H1
94061,San Mateo County,CA,6081,H1
94005,San Mateo County,CA,6081,H1
94401,San Mateo County,CA,6081,H1
94404,San Mateo County,CA,6081,H1
94403,San Mateo County,CA,6081,H1
94134,San Mateo County,CA,6081,H1
94025,San Mateo County,CA,6081,H1
94030,San Mateo County,CA,6081,H1
94066,San Mateo County,CA,6081,H1
94125,San Mateo County,CA,6081,H1
94017,San Mateo County,CA,6081,H1
94010,San Mateo County,CA,6081,H1
94062,San Mateo County,CA,6081,H1
94002,San Mateo County,CA,6081,H1
94037,San Mateo County,CA,6081,H1
94128,San Mateo County,CA,6081,H1
94040,Santa Clara County,CA,6085,H1
94041,Santa Clara County,CA,6085,H1
94088,Santa Clara County,CA,6085,H1
95008,Santa Clara County,CA,6085,H1
95132,Santa Clara County,CA,6085,H1
95148,Santa Clara County,CA,6085,H1
95110,Santa Clara County,CA,6085,H1
95032,Santa Clara County,CA,6085,H1
95121,Santa Clara County,CA,6085,H1
95153,Santa Clara County,CA,6085,H1
95155,Santa Clara County,CA,6085,H1
95015,Santa Clara County,CA,6085,H1
